ID_plot_subplot.x	Zone	Treatment	Plot	Subplot	Depth	mean_ri	se_ri	elevation_raw	ID_plot_subplot.y	elevation	elevation_coeff
251A6	LM	+1.5°C	251	A6	30-40 cm	0.649374139838855	0.077141503348104	-0.29	251A6	-0.59	0.3
251A6	LM	+1.5°C	251	A6	40-50 cm	0.695503848264229	0.0800929452973904	-0.29	251A6	-0.69	0.4
251A6	LM	+1.5°C	251	A6	50-60 cm	0.662517401151705	0.0811768908838725	-0.29	251A6	-0.79	0.5
251A6	LM	+1.5°C	251	A6	60-70 cm	0.611939060669588	0.0914530083579387	-0.29	251A6	-0.89	0.6
251A6	LM	+1.5°C	251	A6	70-80 cm	0.543452458053736	0.0805000013691126	-0.29	251A6	-0.99	0.7
251G6	LM	+1.5°C	251	G6	0-10 cm	0.243865265461891	0.0565369936532239	-0.11	251G6	-0.11	0
251G6	LM	+1.5°C	251	G6	10-20 cm	0.459118764844584	0.0854056076943827	-0.11	251G6	-0.21	0.1
251G6	LM	+1.5°C	251	G6	20-30 cm	0.538414870698162	0.0839035484179032	-0.11	251G6	-0.31	0.2
251G6	LM	+1.5°C	251	G6	30-40 cm	0.601817207360837	0.0852050941300389	-0.11	251G6	-0.41	0.3
251G6	LM	+1.5°C	251	G6	40-50 cm	0.743186100473547	0.074493264405955	-0.11	251G6	-0.51	0.4
251G6	LM	+1.5°C	251	G6	50-60 cm	0.691246703667311	0.0791486870089653	-0.11	251G6	-0.61	0.5
251G6	LM	+1.5°C	251	G6	60-70 cm	0.716355096951864	0.0773724765438546	-0.11	251G6	-0.71	0.6
251G6	LM	+1.5°C	251	G6	70-80 cm	0.666314334401493	0.071290106217884	-0.11	251G6	-0.81	0.7
252A6	LM	+3.0°C	252	A6	0-10 cm	0.228164352722975	0.0533064273185025	-0.18	252A6	-0.18	0
252A6	LM	+3.0°C	252	A6	10-20 cm	0.452620062579406	0.0854874474559121	-0.18	252A6	-0.28	0.1
