ID	Zone	Depth	Treatment	Subplot	Year	Tray	FW	DW	Muffle	OM_1	OM/FW	OM
131-30-A	PZ	30	+1.5C	A	2021	19.523	31.843	28.675	27.747	0.928	0.075324675	7.5324675
131-30-A2	PZ	30	+1.5C	A2	2021	19.752	28.11	26.214	25.872	0.342	0.04091888	4.091888
131-50-A	PZ	50	+1.5C	A	2021	19.927	26.211	23.826	23.558	0.268	0.042647995	4.2647995
131-50-A2	PZ	50	+1.5C	A2	2021	21.909	27.532	26.863	26.517	0.346	0.06153299	6.153299
132-05-A	PZ	5	+3.0C	A	2021	19.904	22.064	20.787	20.664	0.123	0.056944444	5.6944444
132-05-A2	PZ	5	+3.0C	A2	2021	20.592	23.157	22.901	22.764	0.137	0.053411306	5.3411306
132-10-A	PZ	10	+3.0C	A	2021	20.312	22.641	21.823	21.702	0.121	0.051953628	5.1953628
132-10-A2	PZ	10	+3.0C	A2	2021	19.561	23.232	22.193	22.022	0.171	0.046581313	4.6581313
132-30-A	PZ	30	+3.0C	A	2021	20.226	29.042	25.906	25.616	0.29	0.032894737	3.2894737
132-30-A2	PZ	30	+3.0C	A2	2021	20.366	26.983	25.3	25.065	0.235	0.035514584	3.5514584
132-50-A	PZ	50	+3.0C	A	2021	20.036	26.468	23.867	23.613	0.254	0.03949005	3.949005
132-50-A2	PZ	50	+3.0C	A2	2021	21.806	28.395	26.655	26.424	0.231	0.035058431	3.5058431
240-05-A	LM	5	ambient	A	2021	20.491	23.523	22.084	21.885	0.199	0.065633245	6.5633245
240-05-A2	LM	5	ambient	A2	2021	19.895	22.252	21.349	21.256	0.093	0.039456937	3.9456937
240-10-A	LM	10	ambient	A	2021	19.913	21.644	20.969	20.875	0.094	0.054303871	5.4303871
240-10-A2	LM	10	ambient	A2	2021	20.19	24.917	23.217	23.031	0.186	0.039348424	3.9348424
240-30-A	LM	30	ambient	A	2021	19.891	22.589	21.61	21.514	0.096	0.035581913	3.5581913
240-30-A2	LM	30	ambient	A2	2021	16.966	26.244	22.879	22.469	0.41	0.044190558	4.4190558
240-50-A	LM	50	ambient	A	2021	16.962	21.159	19.697	19.529	0.168	0.040028592	4.0028592
240-50-A2	LM	50	ambient	A2	2021	22.677	29.267	27.017	26.815	0.202	0.030652504	3.0652504
241-05-A	LM	5	+1.5C	A	2021	20.19	22.628	21.604	21.494	0.11	0.04511895	4.511895
241-05-A2	LM	5	+1.5C	A2	2021	19.89	23.787	21.954	21.712	0.242	0.062099051	6.2099051
241-10-A	LM	10	+1.5C	A	2021	19.892	21.692	21.049	20.994	0.055	0.030555556	3.0555556
241-10-A2	LM	10	+1.5C	A2	2021	21.083	29.738	25.882	25.532	0.35	0.040439053	4.0439053
241-30-A	LM	30	+1.5C	A	2021	21.083	28.429	25.954	25.752	0.202	0.027497958	2.7497958
241-30-A2	LM	30	+1.5C	A2	2021	20.22	25.773	23.816	23.656	0.16	0.028813254	2.8813254
241-50-A	LM	50	+1.5C	A	2021	20.219	28.768	25.605	25.328	0.277	0.03240145	3.240145
241-50-A2	LM	50	+1.5C	A2	2021	20.17	26.628	24.198	23.98	0.218	0.033756581	3.3756581
242-05-A	LM	5	+3.0C	A	2021	20.171	28.278	25.1	24.683	0.417	0.05143703	5.143703
242-05-A2	LM	5	+3.0C	A2	2021	19.547	25.225	23.406	23.167	0.239	0.042092286	4.2092286
242-10-A	LM	10	+3.0C	A	2021	21.011	26.063	24.093	23.833	0.26	0.051464766	5.1464766
242-10-A2	LM	10	+3.0C	A2	2021	21.012	26.845	24.808	24.584	0.224	0.038402194	3.8402194
242-30-A	LM	30	+3.0C	A	2021	19.55	27.706	25.126	24.881	0.245	0.030039235	3.0039235
242-30-A2	LM	30	+3.0C	A2	2021	20.22	23.395	22.231	22.151	0.08	0.02519685	2.519685
242-50-A	LM	50	+3.0C	A	2021	19.755	28.133	25.591	25.409	0.182	0.021723562	2.1723562
242-50-A2	LM	50	+3.0C	A2	2021	20.17	27.079	24.649	24.443	0.206	0.029816182	2.9816182
